z color ID
0.847900 1.397000 223932.95+010729.5
0.848000 1.368000 084331.27+014542.1
0.849000 1.525000 222920.41-002939.1
0.850000 0.762000 222043.69+005900.9
0.850317 1.277000 020452.84-033711.5
0.852000 0.096000 022110.22-045525.5
0.853000 1.358000 021639.71-053147.7
0.853000 1.440000 143216.87-005558.6
0.856000 1.148000 142148.50+011107.6
0.857000 3.344000 022140.59-053503.4
0.857000 1.115000 224002.55+012734.9
0.857200 1.260000 143454.46-002153.2
0.859000 0.216000 021324.32-053518.0
0.861000 2.238000 020246.57-050927.6
0.861000 3.027000 221756.92+010119.4
0.862000 -0.052000 090337.48+004742.1
0.865098 -0.024000 022202.31-044845.4
0.867000 1.015000 220651.81+000926.4
0.867300 1.437000 223837.87+004905.6
0.869000 0.543000 020403.90-042205.9
0.870000 0.999000 162703.86+422125.1
0.870100 0.430000 084428.51+014818.7
0.872000 1.294000 022509.79-051246.5
0.875000 -0.045000 084537.83+021806.4
0.875200 1.037000 223621.08-003051.7
0.877000 0.902000 38.390071999999996
0.877000 0.510000 220452.00+004004.7
0.877900 0.301000 221956.72+004332.4
0.880000 1.250000 222315.09-002406.2
0.882000 1.340000 144027.25-011827.4
0.883000 1.302000 021557.63-045009.6
0.883700 0.938000 143607.34+010036.3
0.885000 1.356000 085056.63+005603.6
0.885000 1.010000 141939.57+002835.2
0.886000 1.378000 220715.18-000347.2
0.887000 0.941000 223614.99+002040.7
0.888200 -0.044000 223730.16-002640.0
0.888600 -0.677000 090053.93-000726.1
0.896000 2.058000 090106.73-000124.6
0.896300 1.472000 142614.79+004159.4
0.898000 1.034000 090444.49+002909.8
0.899000 1.240000 223435.82+001302.8
0.899617 1.094000 021413.02-042930.1
0.900000 0.878000 020951.76-055744.2
0.901000 1.634000 223856.28-002523.9
0.902600 0.028000 221245.86+001517.1
0.903000 0.722000 37.562557
0.904000 1.071000 020850.92-050508.0
0.904611 0.768000 021025.97-035541.0
0.905000 1.076000 022441.65-045001.5
0.907800 1.187000 221409.96+005227.0
0.908000 1.444000 115146.19+000206.8
0.909000 1.007000 142353.34-001629.1
0.910000 0.834000 090136.66+005856.2
0.910000 4.188000 224022.77-000151.9
0.911000 1.053000 022334.49-041102.7
0.912000 0.860000 161541.53+423823.5
0.915000 1.008000 022507.14-051021.1
0.920000 0.734000 022534.82-042401.6
0.920667 0.884000 020202.45-051722.7
0.921000 0.936000 022537.16-042132.9
0.922000 1.442000 022233.14-034508.7
0.923000 0.788000 020301.73-045108.6
0.924000 0.820000 224059.04+004129.6
0.925000 1.454000 162224.79+431409.2
0.930000 0.947000 142010.47+003420.0
0.932500 -0.126000 223336.92+000440.8
0.933100 1.319000 115808.46-005552.6
0.935000 0.878000 020718.85-060321.3
0.936000 0.873000 38.235718
0.937700 0.810000 084725.41+010331.5
0.940000 1.091000 221213.76+013727.1
0.942000 0.699000 022106.54-050557.9
0.942000 1.249000 37.683904
0.942000 0.701000 223629.48-002341.0
0.943000 1.678000 022201.81-041329.2
0.944000 0.622000 084220.70+011310.3
0.946439 -0.142000 021834.47-032930.7
0.949000 0.609000 084313.61+011634.5
0.950900 0.554000 224211.94+003333.8
0.956000 0.471000 022340.78-042255.6
0.960000 0.800000 221550.56+005122.9
0.960800 1.984000 223233.94+004132.3
0.963000 0.988000 020624.65-043525.0
0.964200 -0.104000 222720.55-000159.2
0.965000 0.532000 223849.82-000557.9
0.966300 0.763000 143542.68-000541.8
0.967000 0.906000 022005.58-050928.8
0.968000 0.348000 021031.98-060515.2
0.968910 0.552000 020854.19-040850.8
0.969000 0.883000 223852.88+010248.2
0.971000 3.406000 37.680582
0.972000 1.029000 020327.04-045853.4
0.972000 1.533000 021336.36-044145.1
0.973300 1.270000 161756.77+423924.1
0.974800 1.537000 085516.28+013236.3
0.975000 0.906000 085109.25+003228.7
0.979000 -0.333000 120326.93+004849.1
0.979469 1.362000 020311.74-033735.0
0.980000 -0.032000 020711.19-050950.4
0.980322 -0.919000 021111.38-035135.7
0.981000 0.642000 022712.98-044636.4
0.982000 1.729000 085202.21+014336.3
0.982900 1.514000 085152.22+021715.2
0.983000 0.662000 37.781855
0.983300 1.037000 115852.86-004301.9
0.984000 1.014000 020854.45-050226.0
0.984000 1.383000 021809.24-035848.7
0.985000 0.704000 222047.74+000852.8
0.986000 1.400000 141735.94+523029.8
