ID filter hostmag
020225.98-061156.4 Y 20.623000
020719.48-033600.6 I 20.644000
020719.48-033600.6 G 24.977000
020719.48-033600.6 R 21.769000
020719.48-033600.6 Z 20.293000
020719.48-033600.6 Y 20.149000
085944.86-000301.0 I 20.363000
085944.86-000301.0 G 22.340000
085944.86-000301.0 R 21.177000
085944.86-000301.0 Z 20.217000
085944.86-000301.0 Y 20.049000
161639.78+434221.2 I 20.174000
161639.78+434221.2 G 23.193000
161639.78+434221.2 R 21.746000
161639.78+434221.2 Z 20.323000
161639.78+434221.2 Y 22.275000
141907.91+530025.5 I 20.674000
141907.91+530025.5 G 21.965000
141907.91+530025.5 R 21.144000
141907.91+530025.5 Z 20.435000
141907.91+530025.5 Y 20.245000
36.396045 I 20.801000
36.396045 G 22.762000
36.396045 R 21.667000
36.396045 Z 20.487000
36.396045 Y 20.275000
021454.15-051414.2 I 19.882000
021454.15-051414.2 G 21.958000
021454.15-051414.2 R 20.752000
021454.15-051414.2 Z 19.559000
021454.15-051414.2 Y 19.372000
120620.51-003852.1 I 21.273000
120620.51-003852.1 G 22.330000
120620.51-003852.1 R 21.668000
